,time,token,market_caps,prices,total_volumes
86,4/29/2018,aidcoin,6594175.327,0.178665997,95013.90094
87,4/30/2018,aidcoin,6578277.967,0.178235266,63732.9189
88,5/1/2018,aidcoin,6234616.583,0.168923927,121251.6304
89,5/2/2018,aidcoin,6162792.784,0.166977896,95004.08084
90,5/3/2018,aidcoin,6362878.431,0.17239912,155740.0401
91,5/4/2018,aidcoin,6208644.311,0.168220216,366236.8177
92,5/5/2018,aidcoin,6176588.818,0.167351688,166642.7347
93,5/6/2018,aidcoin,6154966.77,0.166765849,201099.3706
94,5/7/2018,aidcoin,5941206.426,0.160974116,237337.5139
95,5/8/2018,aidcoin,5560525.552,0.150659752,160774.0621
96,5/9/2018,aidcoin,5750740.273,0.155750228,118786.1809
97,5/10/2018,aidcoin,5561895.079,0.150635637,44328.06777
98,5/11/2018,aidcoin,5396281.689,0.146150245,57681.17198
99,5/12/2018,aidcoin,4833634.865,0.130911795,127489.6447
100,5/13/2018,aidcoin,4752015.21,0.128701248,95529.67657
101,5/14/2018,aidcoin,5025274.176,0.13610206,14052.80713
102,5/15/2018,aidcoin,4853943.647,0.131461828,99454.16607
103,5/16/2018,aidcoin,4417870.237,0.11965143,161914.0854
104,5/17/2018,aidcoin,4275343.135,0.114029107,162392.6553
105,5/18/2018,aidcoin,10006512.61,0.266958246,6215725.026
106,5/19/2018,aidcoin,10080105.35,0.268921587,1873207.827
107,5/20/2018,aidcoin,8984433.81,0.239690768,1001089.128
108,5/21/2018,aidcoin,8526817.935,0.227482286,356878.397
109,5/22/2018,aidcoin,8078464.129,0.215520901,281016.6395
110,5/23/2018,aidcoin,7103815.002,0.189518773,105401.0099
111,5/24/2018,aidcoin,6283082.006,0.167622889,204197.4913
112,5/25/2018,aidcoin,6720673.252,0.179297145,3153146.133
113,5/26/2018,aidcoin,6488199.269,0.1730951,1213642.422
114,5/27/2018,aidcoin,6923177.055,0.184699633,4173041.558
115,5/28/2018,aidcoin,7333455.297,0.19564522,2299412.087
116,5/29/2018,aidcoin,6217556.013,0.165874757,945949.314
117,5/30/2018,aidcoin,6326073.725,0.168769842,485156.3843
118,5/31/2018,aidcoin,6439991.48,0.171808991,665711.4296
119,6/1/2018,aidcoin,6493192.712,0.173228317,386264.7037
120,6/2/2018,aidcoin,6394229.735,0.170588138,295333.071
121,6/3/2018,aidcoin,6514066.609,0.1737852,409215.1688
122,6/4/2018,aidcoin,6572761.209,0.175351081,285193.0196
123,6/5/2018,aidcoin,7014356.069,0.165032108,188911.5271
124,6/6/2018,aidcoin,6873889.872,0.161727253,349712.6443
125,6/7/2018,aidcoin,6575904.267,0.154716318,227474.5467
126,6/8/2018,aidcoin,6377603.698,0.150050749,182001.5904
127,6/9/2018,aidcoin,6288368.588,0.147951247,145374.3661
128,6/10/2018,aidcoin,6106014.561,0.143660864,115188.1626
129,6/11/2018,aidcoin,4783509.015,0.112545267,148889.8306
130,6/12/2018,aidcoin,4811165.492,0.119296498,146987.4567
131,6/13/2018,aidcoin,4461429.683,0.110624533,115739.3269
132,6/14/2018,aidcoin,4503773.578,0.111674482,182000.153
133,6/15/2018,aidcoin,4647043.835,0.115226977,142438.3078
134,6/16/2018,aidcoin,4323706.349,0.107209579,124923.7052
135,6/17/2018,aidcoin,4344441.628,0.107723726,95036.08075
136,6/18/2018,aidcoin,4439318.974,0.110076282,148576.6176
137,6/19/2018,aidcoin,4556457.931,0.112980831,145929.5204
138,6/20/2018,aidcoin,4432949.549,0.109918347,156167.4882
139,6/21/2018,aidcoin,4550824.563,0.112841147,185592.1956
140,6/22/2018,aidcoin,4434309.636,0.109734395,127945.0324
141,6/23/2018,aidcoin,3754877.948,0.092920724,154045.2084
142,6/24/2018,aidcoin,5022417.972,0.124288118,2698167.704
143,6/25/2018,aidcoin,4303447.342,0.106495989,1119206.281
144,6/26/2018,aidcoin,4152851.337,0.10276924,609247.6004
145,6/27/2018,aidcoin,3803267.766,0.094118211,244785.7575
146,6/28/2018,aidcoin,3995467.931,0.098874525,563690.2459
147,6/29/2018,aidcoin,3754828.36,0.094159114,240105.085
148,6/30/2018,aidcoin,3865650.239,0.096938173,230978.7074
149,7/1/2018,aidcoin,4052288.593,0.101618467,307510.4246
150,7/2/2018,aidcoin,4028330.406,0.101017672,181916.8893
151,7/3/2018,aidcoin,4221846.549,0.10587044,150798.62
152,7/4/2018,aidcoin,4350579.331,0.109098647,134244.11
153,7/5/2018,aidcoin,4251183.655,0.106606121,96232.07345
154,7/6/2018,aidcoin,4130061.366,0.10356876,120885.7505
155,7/7/2018,aidcoin,4284012.824,0.107429371,277937.9029
156,7/8/2018,aidcoin,4357853.625,0.109281063,199542.1492
157,7/9/2018,aidcoin,4258914.555,0.106799987,153474.3831
158,7/10/2018,aidcoin,4317125.922,0.108259742,64717.11443
159,7/11/2018,aidcoin,4234473.707,0.106187088,189490.6715
160,7/12/2018,aidcoin,4125327.443,0.103450048,81440.13966
161,7/13/2018,aidcoin,4122624.627,0.103349874,151747.1053
162,7/14/2018,aidcoin,4332459.27,0.108610209,131134.4661
163,7/15/2018,aidcoin,4283604.645,0.107385475,46294.99276
164,7/16/2018,aidcoin,4378661.139,0.109768166,53010.66837
165,7/17/2018,aidcoin,4691930.603,0.112605877,104403.9616
166,7/18/2018,aidcoin,5133778.864,0.123210192,206684.0377
167,7/19/2018,aidcoin,5387753.592,0.129305561,283252.8113
168,7/20/2018,aidcoin,5390122.652,0.129362418,163116.1372
169,7/21/2018,aidcoin,5010971.521,0.120262828,99440.37988
170,7/22/2018,aidcoin,4875011.794,0.116999808,50316.86104
171,7/23/2018,aidcoin,4755282.689,0.114126321,64525.87099
172,7/24/2018,aidcoin,4699095.296,0.112777829,64334.10661
173,7/25/2018,aidcoin,5389548.337,0.129348634,1062045.325
174,7/26/2018,aidcoin,4821254.577,0.11570964,357422.8389
175,7/27/2018,aidcoin,4842572.277,0.116221262,719725.9041
176,7/28/2018,aidcoin,5157479.717,0.12377901,166452.435
177,7/29/2018,aidcoin,5287440.502,0.126898056,120671.1479
178,7/30/2018,aidcoin,5233126.202,0.125594518,189016.6981
179,7/31/2018,aidcoin,5334451.683,0.12802632,253297.1424
180,8/1/2018,aidcoin,5004830.058,0.120115433,176711.421
181,8/2/2018,aidcoin,4714179.905,0.113139858,245357.9329
182,8/3/2018,aidcoin,4308967.621,0.103414803,172812.0693
183,8/4/2018,aidcoin,4214607.52,0.101150169,141637.2808
184,8/5/2018,aidcoin,4018825.208,0.096451413,141061.8342
185,8/6/2018,aidcoin,3932725.356,0.094385025,105784.6825
186,8/7/2018,aidcoin,3947095.383,0.094729904,115806.7579
187,8/8/2018,aidcoin,3653854.712,0.087692157,143005.3346
188,8/9/2018,aidcoin,3092486.934,0.074219385,145246.6687
189,8/10/2018,aidcoin,3245824.028,0.07789946,365794.763
190,8/11/2018,aidcoin,3059845.103,0.073435984,943263.3864
191,8/12/2018,aidcoin,2764077.704,0.066337595,229344.3053
192,8/13/2018,aidcoin,2607729.786,0.062585261,165550.6788
193,8/14/2018,aidcoin,2469999.823,0.059279755,283884.3652
194,8/15/2018,aidcoin,2340757.822,0.056177959,554086.6854
195,8/16/2018,aidcoin,2367961.631,0.056828385,170760.5472
196,8/17/2018,aidcoin,2268766.681,0.054460135,151137.8431
197,8/18/2018,aidcoin,2679015.492,0.064307117,177730.1863
198,8/19/2018,aidcoin,2522201.065,0.060530095,12730.07364
199,8/20/2018,aidcoin,2605794.391,0.06254117,19325.02042
200,8/21/2018,aidcoin,2554203.819,0.061001614,192488.6415
201,8/22/2018,aidcoin,2561250.006,0.061165855,60109.73271
202,8/23/2018,aidcoin,2819211.506,0.067328603,928933.1147
203,8/24/2018,aidcoin,3208567.516,0.075753052,812247.9886
204,8/25/2018,aidcoin,3258899.234,0.077823418,274816.0267
205,8/26/2018,aidcoin,3280539.923,0.078345711,108590.4298
206,8/27/2018,aidcoin,3074452.679,0.073627219,145836.3928
207,8/28/2018,aidcoin,2976735.102,0.07109469,106273.5669
208,8/29/2018,aidcoin,3032094.681,0.072374388,82842.28178
209,8/30/2018,aidcoin,2981996.328,0.071213441,57283.06547
210,8/31/2018,aidcoin,3146135.58,0.075138984,366771.8262
211,9/1/2018,aidcoin,3170289.281,0.076201867,162277.3438
212,9/2/2018,aidcoin,3157240.675,0.075400687,161502.5651
213,9/3/2018,aidcoin,3064768.765,0.073204125,56308.43383
214,9/4/2018,aidcoin,3107907.05,0.074040436,180603.0687
215,9/5/2018,aidcoin,3157793.629,0.075417112,67513.7536
216,9/6/2018,aidcoin,2699334.594,0.064364311,107903.736
217,9/7/2018,aidcoin,2559157.563,0.061121934,166447.4445
218,9/8/2018,aidcoin,2441806.217,0.058311488,23686.51961
219,9/9/2018,aidcoin,2372528.211,0.056662615,31450.99919
220,9/10/2018,aidcoin,2292009.102,0.054711104,11041.09592
221,9/11/2018,aidcoin,2294322.559,0.054803038,29583.08109
222,9/12/2018,aidcoin,2332813.312,0.055689716,45394.15254
223,9/13/2018,aidcoin,2354398.365,0.056229694,28155.56983
224,9/14/2018,aidcoin,2401174.039,0.057193213,17142.41904
225,9/15/2018,aidcoin,2321297.395,0.055340304,28225.07256
226,9/16/2018,aidcoin,2342111.774,0.055828368,14152.45176
227,9/17/2018,aidcoin,2292483.709,0.054647793,34464.72034
228,9/18/2018,aidcoin,2185608.472,0.051893195,53180.60265
229,9/19/2018,aidcoin,2306366.488,0.054978546,28172.96557
230,9/20/2018,aidcoin,2263143.375,0.053947194,36074.01413
231,9/21/2018,aidcoin,2389162.348,0.056945218,23431.09312
232,9/22/2018,aidcoin,2382104.789,0.0567847,26909.20304
233,9/23/2018,aidcoin,2401300.102,0.057240475,17536.74971
234,9/24/2018,aidcoin,2450783.019,0.058419308,21524.10256
235,9/25/2018,aidcoin,2454892.744,0.058520453,10189.79775
236,9/26/2018,aidcoin,2354644.12,0.056128323,20148.35951
237,9/27/2018,aidcoin,2285716.579,0.054485278,3606.822817
